IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.88.181,2083,2083,TRUE,SIN,Asia Pacific,Singapore,142,13.2
47.236.10.182,2096,2096,TRUE,SIN,Asia Pacific,Singapore,112,13.19
8.219.107.199,2083,2083,TRUE,SIN,Asia Pacific,Singapore,117,13.19
47.236.253.41,2053,2053,TRUE,SIN,Asia Pacific,Singapore,164,13.19
47.237.22.45,8443,8443,TRUE,SIN,Asia Pacific,Singapore,174,13.19
47.74.12.139,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,259,13.17
47.236.4.129,8443,8443,TRUE,SIN,Asia Pacific,Singapore,118,13.17
47.245.80.142,2053,2053,TRUE,SIN,Asia Pacific,Singapore,95,13.17
47.236.173.200,8443,8443,TRUE,SIN,Asia Pacific,Singapore,139,13.17
8.219.151.193,2087,2087,TRUE,SIN,Asia Pacific,Singapore,161,13.17
8.219.74.35,2096,2096,TRUE,SIN,Asia Pacific,Singapore,55,13.15
8.219.208.69,8443,8443,TRUE,SIN,Asia Pacific,Singapore,76,13.15
8.219.250.70,2053,2053,TRUE,SIN,Asia Pacific,Singapore,43,13.15
47.74.42.17,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,137,13.15
47.236.104.123,2096,2096,TRUE,SIN,Asia Pacific,Singapore,83,13.15
47.245.34.36,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,264,13.14
8.219.43.243,2053,2053,TRUE,SIN,Asia Pacific,Singapore,108,13.14
8.219.201.174,2087,2087,TRUE,SIN,Asia Pacific,Singapore,4,13.13
8.219.112.75,2087,2087,TRUE,SIN,Asia Pacific,Singapore,97,13.13
47.236.179.182,8443,8443,TRUE,SIN,Asia Pacific,Singapore,148,13.13
47.91.17.217,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,350,13.13
47.245.32.215,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,160,13.13
8.219.228.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,142,13.13
8.219.106.156,2096,2096,TRUE,SIN,Asia Pacific,Singapore,150,13.13
8.218.207.169,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,79,13.12
47.245.54.58,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,279,13.12
8.219.206.53,2096,2096,TRUE,SIN,Asia Pacific,Singapore,103,13.12
8.219.242.208,2083,2083,TRUE,SIN,Asia Pacific,Singapore,178,13.12
8.219.121.87,8443,8443,TRUE,SIN,Asia Pacific,Singapore,94,13.11
8.219.53.222,2087,2087,TRUE,SIN,Asia Pacific,Singapore,147,13.1
47.245.55.99,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,222,13.09
47.245.39.28,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,189,13.09
47.74.5.150,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,213,13.09
47.74.23.99,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,166,13.08
8.219.156.148,2083,2083,TRUE,SIN,Asia Pacific,Singapore,106,13.08
8.219.200.145,8443,8443,TRUE,SIN,Asia Pacific,Singapore,101,13.07
47.236.82.218,2087,2087,TRUE,SIN,Asia Pacific,Singapore,83,13.05
47.236.147.146,2096,2096,TRUE,SIN,Asia Pacific,Singapore,150,13.05
8.222.154.227,2087,2087,TRUE,SIN,Asia Pacific,Singapore,82,13.05
47.237.73.52,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,194,13.05
47.74.15.120,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,169,13.04
8.219.142.229,2087,2087,TRUE,SIN,Asia Pacific,Singapore,155,13.03
47.74.50.249,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,151,13.03
8.222.137.166,2083,2083,TRUE,SIN,Asia Pacific,Singapore,93,13.03
47.91.14.62,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,86,13.02
47.236.163.95,2083,2083,TRUE,SIN,Asia Pacific,Singapore,150,13.02
8.218.174.118,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,67,13.01
47.245.55.99,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,240,13.01
8.219.84.214,2083,2083,TRUE,SIN,Asia Pacific,Singapore,116,13.01
47.245.31.0,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,237,13
8.219.249.38,2083,2083,TRUE,SIN,Asia Pacific,Singapore,86,13
